abgl_1200_1721;9.722;2120000000
abgl_1200_1787;7.31;2120000001
abgl_1200_223;7.771;2120000002
abgl_1200_309;8.7;2120000003
abgl_1200_310;5.148;2120000004
abgl_1200_39;5.902;2120000005
abgl_1200_751;6.433;2120000006
abgl_1200_7946;4.878;2120000007
abgl_1541_110;0.744;2120000008
abgl_1541_7861;0.939;2120000009
abgl_1541_7866;0.893;2120000010
abgl_1541_8428;0.492;2120000011
abgl_1541_8431;0.849;2120000012
abgl_1579_3451;1.241;2120000013
abgl_1579_8602;7.461;2120000014
abgl_1579_8603;0.855;2120000015
abgl_1579_8604;2.013;2120000016
abgl_1580_551;1.02;2120000017
abgl_1580_8609;1.032;2120000018
abgl_2_33;2.219;2120000019
abgl_2_34;2.492;2120000020
abgl_2_35;0.869;2120000021
abgl_2_36;4.883;2120000022
abgl_2_37;10.053;2120000023
abgl_2_40;6.091;2120000024
abgl_2_41;3.267;2120000025
abgl_2_42;0.774;2120000026
abgl_2_43;8.692;2120000027
abgl_2_44;1.447;2120000028
abgl_2_45;12.427;2120000029
abgl_2_46;0.803;2120000030
abgl_2_47;6.947;2120000031
abgl_2_48;4.558;2120000032
abgl_2_49;7.446;2120000033
abgl_2_50;2.953;2120000034
abgl_2_51;8.526;2120000035
abgl_2_52;4.486;2120000036
abgl_2_53;1.226;2120000037
abgl_2_54;14.964;2120000038
abgl_2_55;1.174;2120000039
abgl_2_58;0.704;2120000040
abgl_2_59;4.004;2120000041
abgl_2_60;9.075;2120000042
abgl_2_61;2.625;2120000043
abgl_2_63;10.813;2120000044
abgl_2_64;2.82;2120000045
abgl_2_65;2.117;2120000046
abgl_2_66;3.003;2120000047
abgl_2_67;3.162;2120000048
abgl_2_68;15.298;2120000049
abgl_2_69;1.293;2120000050
abgl_2_7;2.579;2120000051
abgl_2_70;1.624;2120000052
abgl_2_71;2.358;2120000053
abgl_2_72;7.783;2120000054
abgl_2_73;3.615;2120000055
abgl_2_74;2.022;2120000056
abgl_2_75;3.267;2120000057
abgl_2_76;6.477;2120000058
abgl_2_77;6.639;2120000059
abgl_2_78;6.915;2120000060
abgl_2_80;7.647;2120000061
abgl_2_81;11.646;2120000062
abgl_2_82;6.819;2120000063
abgl_2_84;4.016;2120000064
abgl_3_144;4.631;2120000065
abgl_3_145;4.936;2120000066
abgl_3_146;6.95;2120000067
abgl_3_147;5.499;2120000068
abgl_3_148;3.22;2120000069
abgl_3_149;3.693;2120000070
abgl_3_150;9.345;2120000071
abgl_3_151;4.941;2120000072
abgl_3_152;1.952;2120000073
abgl_3_153;2.631;2120000074
abgl_3_58;1.415;2120000075
abgl_4_148;4.317;2120000076
abgl_4_164;6.338;2120000077
abgl_5_165;2.843;2120000078
abgl_5_166;5.177;2120000079
abgl_5_167;2.184;2120000080
